fullName,teamName,id
Atlanta Hawks,hawks,1
Boston Celtics,celtics,2
Brooklyn Nets,nets,3
Charlotte Hornets,hornets,4
Chicago Bulls,bulls,5
Cleveland Cavaliers,cavaliers,6
Dallas Mavericks,mavericks,7
Denver Nuggets,nuggets,8
Detroit Pistons,pistons,9
Golden State Warriors,warriors,10
Houston Rockets,rockets,11
Indiana Pacers,pacers,12
Los Angeles Clippers,clippers,13
Los Angeles lakers,lakers,14
Memphis Grizzlies,grizzlies,15
Miami Heat,heat,16
Milwaukee Bucks,bucks,17
Minnesota Timberwolves,timberwolves,18
New Orleans Hornets,hornets,19
New York Knicks,knicks,20
Oklahoma City Thunder,thunder,21
Orlando Magic,magic,22
Philadelphia Sixers,sixers,23
Phoenix Suns,suns,24
Portland Trail Blazers,blazers,25
Sacramento Kings,kings,26
San Antonio Spurs,spurs,27
Toronto Raptors,raptors,28
Utah Jazz,jazz,29
Washington Wizards,wizards,30
